id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,teacher,ai_explanation
94,下列有關活體肝臟移植(LDLT)的敘述，何者有誤？,雖Graft-versus-Host disease 的發生率相當低，在活體肝臟移植(LDLT)的案例，仍建議必需要做recipient 及donor 間的HLA-matching test。,一位65 歲B 型肝炎男性病人，有三顆大小分別為3.0cm，3.5cm，1.0cm，位於S1，S6，S8 的肝癌，但在其腹部電腦斷層有看到臨近肝癌的門靜脈有微小的macroscopic vascular invasion，則其不可接受活體肝臟移植。,捐贈者剩餘肝臟體積最好大於30%~35%原有肝臟體積，fatty liver 程度最好<10%以確保捐赠者的安全。,血型不相容的LDLT，會對受贈者於術前施打Rituximab 及施以plasma exchange，且目前一般建議必需要加做splenectomy，以避免acute antibody-mediated rejection。,D,Rituximab 加上血漿置換已大幅降低排斥風險，目前splenectomy 已不再是常規處理,肝臟移植,,在活體肝臟移植(LDLT)的過程中，選擇(D)的敘述是錯誤的。雖然在血型不相容的情況下，施打Rituximab和進行血漿置換可以顯著降低排斥反應的風險，但目前的醫學實踐中，splenectomy已不再是常規處理。這是因為研究顯示，splenectomy並不一定能進一步降低排斥反應的風險，因此不再建議作為標準程序。其他選項的敘述則是正確的，特別是在選擇捐贈者和受贈者之間的匹配方面，HLA-matching test仍然是重要的考量。
95,依據台灣現行的相關規定，以下有關肝臟移植之敘述何者正確？,"一46 歲男性患者，在二年前因incident renal cell carcinoma，接受手術切除。目前皆無癌症復發的現象，但因其有HBV infection，且現有decompensated liver cirrhosis, Child-Pugh C,MELD score=26。依現行規定，因癌症治療未滿五年，不可將其列於liver transplantation waiting list 中。",Acute cell-mediated rejection 或chronic cell-mediated rejection 是以其在移植後發生的時間而決定，並非以病理切片的發現為診斷標準。,"若deceased donor 有HBV,HCV 或HIV infection，則必須從捐贈名單中排除，不可進行器官分配的評估作業。",一51 歲C 型肝炎男性患者，因肝昏迷，黃疸(Bilirubin 15mg/dl)，prolonged prothrombin time (INR 1.7)，大量腹水refractory ascites，並接受hemodialysis，而住於加護病房中，MELD score=36，依現行规定，他並不是liver transplantation waiting list 的status I 病人,D,(A) Incidental renal carcinoma、in situ carcinoma (excluding bladder)、Dukes’ A colon cancer、basal cell carcinoma 此四種疾病不影響肝臟移植 (B)Acute cell-mediated rejection 或chronic cell-mediated rejection 是以其病理切片的發現為診斷標準 (C)仍可進行器官捐贈，但須找到相應的受贈者 (D)慢性B 肝、C 肝、有肝硬化病史的患者不能被列為status I 病人,肝臟移植,,在這道題目中，正確的選擇是(D)。根據台灣的相關規定，某些癌症患者在治療後未滿五年是不能列入肝臟移植的等待名單中，但選項(A)提到的四種癌症並不影響肝臟移植的資格。選項(B)和(C)的描述也不正確，因為急性和慢性細胞介導的排斥反應是以病理切片的發現為診斷標準，而有HBV、HCV或HIV感染的捐贈者仍然可以進行器官捐贈，只要找到合適的受贈者。
96,下列有關肝臟務植之併發症何者為誤？,若Hepatic artery thrombosis 發生於移植後一個月後，若肝指數正常，大多數的病人僅接受保守治療或觀察即可。,Post-transplant lymphoproliferative disease 主要和CMV (cytomegalovirus) infection 有關。,Small-for-size syndrome in living donor liver transplantation 與portal flow 及portal pressure 有密切關係。,Hepatic vein obstruction 時，常有ascites、jaundice、prothrombin time prolong之現象,B,(B)PTLD 是與EBV 感染相關,肝臟移植,,在這道題目中，選擇(B)的敘述是錯誤的。Post-transplant lymphoproliferative disease (PTLD)主要與EBV (Epstein-Barr virus)感染有關，而不是CMV (cytomegalovirus)感染。其他選項的描述都是正確的，特別是肝動脈血栓形成後的處理和小型肝臟移植的併發症。了解這些併發症的正確性對於臨床醫生在肝臟移植後的管理至關重要。
97,胰臟囊腫，影像呈現令人擔憂的特徵不包括,囊腫直徑<3cm,囊壁增厚並增強顯影(Thickened enhanced cyst walls),壁內可見未增強顯影之結節(Non-enhanced mural nodules),主胰管直徑5-9mm，或主胰管管徑突然變窄,A,"Worrisome Feature： (1) Cyst of >3 cm 囊腫直徑> 3 公分 (2) Thickened enhanced cyst walls 囊壁增厚且增強 (3) Non enhanced mural nodules 囊內未增強的結節 (4) Main pancreatic duct size of 5-9mm, or abrupt change in the main pancreatic duct caliber 主胰管擴張至5-9mm (5) Lymphadenopathy 淋巴結腫大 High risk stigmata 高風險徵象： (1) Enhanced solid component 囊腫內有增強的實體結節 (2) Main pancreatic duct size of >10mm 主胰管擴張超過10mm",胰臟腫瘤及傷害,,在這道題目中，選擇(A)的描述是正確的，因為囊腫直徑小於3cm通常不被視為令人擔憂的特徵。相反，囊腫直徑大於3cm、囊壁增厚並增強顯影、壁內可見未增強顯影之結節以及主胰管直徑的異常變化都是需要警惕的特徵。這些特徵可能暗示著潛在的惡性病變，因此在臨床上需要特別注意。
98,何時該懷疑有胰臟癌,不明原因之體重減輕,沒有糖尿病家族史而在 50 歲後發生糖尿病,阻塞性黃疸,以上皆是,D,胰臟癌早期症狀不明顯，不明原因體重減輕、50 歲後無糖尿病家族史卻新發糖尿病，以及阻塞性黃疸都是重要警訊，因此以上皆是,胰臟腫瘤及傷害,,在這道題目中，選擇(D)是正確的，因為胰臟癌的早期症狀往往不明顯，但不明原因的體重減輕、在50歲後無糖尿病家族史卻新發糖尿病，以及阻塞性黃疸都是重要的警訊。這些症狀可能提示胰臟癌的存在，因此在臨床上應該對這些徵兆保持高度警覺，並進行進一步的檢查以確診。
99,美國創傷外科學會（AAST）將胰臟外傷區分為五個等級，當病患為第三級胰臟合併生命跡象不穩定時之可能治療？,保守治療並觀察,手術，行遠端胰臟切除並脾臟保留,手術，行遠端胰臟切除並脾臟切除,腹十二指腸切除（Whipple procedure）,C,AAST 第三級代表主胰管受損，若生命徵象不穩定須立即手術，通常採遠端胰臟切除合併脾臟切除。,胰臟腫瘤及傷害,,在這道題目中，選擇(C)是正確的，因為根據美國創傷外科學會（AAST）的分類，第三級胰臟外傷通常涉及主胰管的損傷，當患者出現生命跡象不穩定時，必須立即進行手術。這通常包括遠端胰臟切除和脾臟切除，以確保損傷的部位得到適當的處理，並減少潛在的併發症。
100,急性膽管炎（Acute Cholangitis）之臨床表徵 Reynolds’ pentad 不包括？,意識不清,黃疸,發燒及畏寒,下肢水腫,D,Reynolds' pentad 包括右上腹痛、發燒、黃疸、休克及意識改變，不包含下肢水腫。,膽結石及先天性膽道疾病,,急性膽管炎是一種由膽道感染引起的疾病，Reynolds' pentad 是其臨床表徵的組合，包括右上腹痛、發燒、黃疸、休克及意識改變。這些症狀的出現通常表明病情的嚴重性，特別是意識改變和休克，這可能是由於感染引起的全身性反應。下肢水腫並不是這一病症的典型表現，因此在臨床診斷中不應被納入考量。
101,臨床上膽結石(gallstone)最好的診斷工具是？,全身正子攝影,腹部電腦斷層,腹部核磁共振掃描,腹部超音波,D,腹部超音波是膽結石第一線診斷工具，敏感度高、快速且無輻射，因此最常使用。,膽結石及先天性膽道疾病,,腹部超音波是診斷膽結石的首選工具，因其具有高敏感度和無輻射的優勢。這使得它在臨床上成為評估膽道疾病的第一線檢查方法。其他影像學檢查如CT和MRI雖然也能提供詳細的膽道影像，但通常在膽結石的初步診斷中不如超音波常用。
102,膽結石最常見的成分是？,膽紅素鈣,黑色素,膽固醇,混合石,C,膽固醇結石約占膽結石的 70–80%，是最常見的膽結石成分。,膽結石及先天性膽道疾病,,膽結石的主要成分是膽固醇，約占所有膽結石的70-80%。這些結石的形成通常與膽固醇的過飽和、膽鹽的不足以及膽囊的運動功能異常有關。了解膽結石的成分對於制定治療計劃和預防復發至關重要。
103,五週大的男嬰因餵奶後出現噴射狀嘔吐持續超過一周以上而就醫，家屬主訴未有發燒狀況。吐出物為奶水，不含黃綠色膽汁，抽血檢查呈現低氯性代謝性鹼中毒（Hypochloremic metabolic alkalosis）。此病患的診斷最可能是下列何者？,過度餵食,腸扭結（volvulus）,嬰兒肥厚性幽門狹窄（Infantile hypertrophic pyloric stenosis）,牛奶蛋白過敏,C,典型表現為出生後數週出現噴射性非膽汁性嘔吐，並造成低氯性代謝性鹼中毒，最符合嬰兒肥厚性幽門狹窄。,兒童消化疾病,,嬰兒肥厚性幽門狹窄是一種常見的嬰兒消化系統疾病，通常在出生後幾週內出現。其特徵是噴射性嘔吐，且嘔吐物通常不含膽汁，因為阻塞發生在幽門部位，阻止食物進入小腸。低氯性代謝性鹼中毒是由於持續嘔吐導致的電解質失衡，這些臨床表現使得此病症的診斷相當明確。
104,體重 20 公斤的七歲女童，計算其每天輸液維持量（maintenance fluid）下列何者正確？,2000 mL,1500 mL,1250 mL,1000 mL,B,依 Holliday-Segar 維持液公式計算，20 公斤兒童每日維持輸液量為 1500 mL。,兒童消化疾病,,Holliday-Segar 公式是計算兒童每日維持輸液量的標準方法。對於體重為20公斤的兒童，根據此公式計算，維持液的需求量約為1500 mL。這一計算對於確保兒童在手術後或生病期間的水分和電解質平衡至關重要。
105,關於兒童腹瀉的診斷與處置下述何者錯誤？,輪狀病毒是兒童感染性胃腸炎的常見病因之一，目前已有自費的口服疫苗可以預防,持續發燒合併帶血絲或黏液之腹瀉，可能是沙門氏桿菌導致的細菌性腸炎,矯正脫水並及早恢復進食是治療兒童急性胃腸炎的標準處置,慢性腹瀉定義是持續超過三天的水便，病童必須嚴格執行禁食並輸注靜脈營養輸液,D,慢性腹瀉定義是持續超過兩周的水便，治療方式為維持營養，不包含禁食。,兒童消化疾病,,慢性腹瀉的定義是持續超過兩周的水便，而非三天。對於慢性腹瀉的治療，應以維持營養為主，而不是嚴格禁食。這是因為禁食可能會導致營養不良，特別是在兒童中，應該鼓勵適當的飲食以促進恢復。
106,兒童慢性功能性便秘需與巨結腸症（Hirschsprung disease）做鑑別診斷，下列敘述何者正確？,慢性功能性便秘病童解便時疼痛困難，常見憋便（withholding）甚至遺便（fecalsoiling）狀況,銀劑大腸攝影檢查（non-preparing megacolon series）可作為Hirschsprung disease 的初步診斷工具，呈現異常擴張巨大結腸的部位，就是無神經節細胞的腸道，必須手術切除,腹部超音波檢查出現典型的標靶病灶（target lesion）,巨結腸症的致病機轉是腸道迴轉不良所導致,A,(B)擴張的巨大結腸不是無神經節區，而是正常神經節腸道代償性擴張。真正需要切除的是狹窄、沒有神經節細胞的遠端腸段 (C) Target lesion 是腸套疊（intussusception）的典型表現 (D) Hirschsprung disease 的病因是神經嵴細胞（neural crest cells）遷移失敗。,兒童消化疾病,,慢性功能性便秘與巨結腸症的鑑別診斷至關重要。慢性功能性便秘的病童通常會出現解便時的疼痛和憋便行為，而巨結腸症則是由於神經節細胞的缺失導致腸道無法正常蠕動。這兩者的臨床表現有所不同，正確的診斷對於治療方案的制定至關重要。
107,下列兒童常見消化疾病與其臨床表徵，何者錯誤？,嬰兒胃食道逆流疾患（gastroesophageal reflux disease）- 餵食出現哭鬧拒食、翼便可能出現潛血反應,腸套疊（intussusception）- 無痛性磚紅色血便,嬰兒肥厚性幽門狹窄（hypertrophic pyloric stenosis）- 右上腹觸診可能會摸到橄欖狀腫塊(olive mass),類過敏性紫斑症（anaphylactoid purpura） - 下肢出現紫斑，可能合併腹痛（bowel angina)或是胃腸出血,B,(B)無痛性鮮紅色血便是Meckel diverticulum的特徵，腸套疊會陣發性疼痛。,兒童消化疾病,,腸套疊的典型表現是陣發性腹痛和血便，而無痛性鮮紅色血便則是Meckel憩室的特徵。了解這些臨床表徵對於正確診斷和治療至關重要，因為腸套疊如果不及時處理，可能導致腸道缺血和壞死。
108,關於嬰兒膽道閉鎖（biliary atresia）的診斷與治療，下列敘述何者正確？,出生二週大的嬰兒比對大便顏色卡為正常之黃色糞便，即可完全排除膽道閉鎖的可能性,抽血檢測呈現間接型膽紅素（indirect bilirubin）上升，是此病的診斷特徵之一,病患通常需等到出生後六個月大、體重六公斤再接受葛西式手術（Kasai operation），預後最佳,膽道閉鎖（biliary atresia）是嬰兒時期重要的慢性肝膽疾病，也是兒童肝臟移植手術的重要病因,D,(A)膽道閉鎖早期的大便顏色可能尚未完全變白，正常黃色大便不能完全排除膽道閉鎖，尤其在出生前幾週 (B)膽道閉鎖呈現直接型高膽紅素 (C)葛西氏手術（Kasai portoenterostomy）越早做越好，最佳時機為60天內。,兒童消化疾病,,嬰兒膽道閉鎖是一種嚴重的肝膽疾病，通常在出生後幾週內出現。正確的診斷和及時的手術介入對於改善預後至關重要。葛西式手術的最佳時機是在出生後60天內，這樣可以提高手術成功率並改善肝功能。
109,關於「消化系醫學名詞—-傳說到神話」，授課老師在這一節課上播放內視鏡闌尾切除手術（Laparoscopic appendectomy），以下何者敘述是錯誤的？,這個病人是男性,術中把闌尾切除後，是用特殊的袋子拿出體外的,開刀當中是用大量的生理食鹽水沖洗,術中冒血的是appendicular artery，是血管夾來止血,A,(A)病人為女性,,,在內視鏡闌尾切除手術中，病人的性別是重要的臨床信息。此題中提到的病人實際上是女性，這一點在手術過程中可能影響到術後的恢復和護理。了解病人的基本信息對於手術的成功和後續的護理至關重要。
110,關於「消化系醫學名詞--傳說到神話」，授課老師在這一節課提到為什麼「醫師誓詞」-要這些醫神家族來見證呢？你認為以下何者敘述是錯誤的？,主要的對象是雅典娜（Athena）等諸神,根據2000 年臺灣醫療奉獻獎得主、已逝的美籍安芳蓮醫師（Dr. Florence On，1943-2007）的說法：「這是對著超自然或眾神起誓，而不是自己。」,她說：「當年希波克拉底對眾神起誓，相當於北美的現代醫學生對上帝起誓。因為起誓要有對象，否則誓詞一點意義也沒有。誓詞比起承諾，語意來得更強烈，它有道德上的份量！」,「將眾神（或上帝）擺在醫師與病人之問，以良心與責任對道德後果負責。」,A,(A)是向醫神家族起誓，並不是向Athena 起誓。Athena 是智慧與戰略女神，不屬於醫神家族,,,醫師誓詞的歷史根源可以追溯到古希臘，當時醫生在行醫之前會向醫神發誓，以示對醫療職責的尊重與承諾。選項A提到的雅典娜（Athena）並不屬於醫神家族，因此這一敘述是錯誤的。雅典娜是智慧與戰略的女神，與醫療無關。醫師誓詞的主要對象應是醫神，如希波克拉底所提及的神祇，這些神明象徵著醫療的道德與倫理。誓詞的意義在於醫生對病人及社會的責任感，並非向雅典娜發誓。這一點在醫學倫理中仍然具有重要的指導意義，強調醫生的職業道德與責任感。
111,關於阿波羅（Apollo）奥赫爾米斯（Hermes）的神話傳說，下列哪一個選項錯誤？,赫爾米斯早上才剛出生，下午就去偷他哥哥阿波羅的神牛。,阿波羅半路上看到一隻烏龜，偷了它的龜殼，在邊緣鑽幾個洞，又抽出七條牛筋綁上去做成里拉琴（Lyre）。,阿波羅原先找不到牛群，藉由占卜得知是赫爾米斯做的，怒氣沖沖上門興師問罪，不知情的媽媽邁亞（Maia）指著嬰兒赫爾米斯一臉無辜，說她的小貝比很乖，在這裏睡了一整天。,赫爾米斯後來發明了牧笛，也送給了阿波羅，這次阿波羅高興回贈赫爾米斯一根他放牛用的魔杖（wand）。這根金色的使者權杖，希臘文是kerykeion，羅馬文為caduceus，據說是一根能帶給你富足、健康、曼妙的魔杖。,B,(B)應將阿波羅改為赫爾米斯（Hermes）才正確,,,在希臘神話中，赫爾米斯（Hermes）是神的使者，且以狡猾著稱。選項B中提到阿波羅偷了烏龜的龜殼來製作里拉琴，這是錯誤的，因為實際上是赫爾米斯在出生後不久就偷了阿波羅的神牛，並用烏龜的龜殼製作了里拉琴。這一故事展示了赫爾米斯的聰明才智和創造力，而阿波羅則是音樂和預言的神。這個故事不僅反映了神話中的角色特性，也揭示了兄弟間的競爭與合作。正確的敘述應該是赫爾米斯的行為，而非阿波羅的行為。
